author_title,review_text,review_rating
Mintu Jakhar,"I usually check reviews before making the decision. And hence I feel obliged to help others as well. I recently completed Integrated Program in Business Analytics at Jigsaw in collaboration with IIM Indore. It was a great learning experience with weekend classes providing  hands on experience on every topic while introducing to some industry specialists as well. Great Experience Overall.

Special thanks to Mr. Moses for making the entire flow seamless. I would like to specially mention about him for being an excellent facilitator right from beginning to the end of the course. He is very approachable, quick at resolving all our Queries and handles every situation with calm and solution driven approach. I really commend your dedication, hard work & sincerity to your profession.",4
Shreyasi Mahurkar,"I was enrolled in Integrated Program in Business Analytics from Jigsaw Academy and IIM Indore and the program was very well structured and I got to learn analytics right from the basics to the advanced level. The introduction of Kaggle competitions right from my batch (batch 9) helped me apply all the theoretical and practical knowledge which I have gained via case studies to actual real world problem statements. The videos and the study material provided by Jigsaw explains everything in a simple yet exciting way which helps in easy understanding. All the faculty who taught us were good and had a good years of experience in the field. I would recommend this course to anyone who wants to start his analytics career afresh.
Special thanks to Moses for quickly resolving all the queries, and for all the support. He is one of the main reasons why I have rated 5 stars to this course :)",5
Revathy P,"I did a Data Analytics program from Jigsaw, recently in collaboration with IIM Indore.I must say, great team and faculty! The content was good and I recently got placed for internship in Business Intelligence. They also provided us with two complimentary certification courses.Thanks to the program coordinator Moses & Team Jigsaw !",5
Shaik Ahmed,"I found the Business Analytics course very interesting, knowledgeable and well designed,  10+ months duration of this course covered from the basics of statistics to the in-depth  detailed analysis of the data science and its practical implementation. This course will help to all who are in their beginning of the carrier, for those who would like to shift/build their carrier towards data science and for the managers and senior manager's equally as the coverage of the topics is extensive and more importantly practical in nature. Thanks to Jigsaw and IIM faculty to make this course interesting and providing the detailed insight to each and every topic.",5
Kartik Jain,"Hi All,

I've been part of the IPBA batch (Batch 9) and had a wonderful experience throughout the course. The support that Jigsaw provided through out the course, whether you talk about extra classes for the topics which were not clear to people or any other thing related access/study material, onboarding etc. has been awesome. The faculties were good and were very supportive as well.

5* for the experience and knowledge I got :) Will recommend aspirant who want to excel in the latest cutting edge technologies, to register the programs from Jigsaw without hesitation.

Special thanks to Moses for the support he is providing to everyone in the batch, patiently and at rocket speed as well :). I would say one of the major reason for this 5* rating. Thanks Moses!!",5
Smitha Prabhakaran,"I came to know about the HR analytics course through a friend. Was extremely skeptical regarding pursuing the course considering the management of time with regards to work and studies. Nevertheless, I am extremely positive and excited to have completed the course. It has not just given me an edge but it certainly has changed my perception of looking at data beyond just set of numbers. Thank you Jigsaw and team to have provided such great expertise in such a stipulated period of time with amazing faculty members and support team",4
Mittal Dasani,"I had enrolled for the Integrated Programme in Data Science - IIM Indore and it was a great learning experience. The faculty was knowledgeable, approachable and resourceful. The program was very well structured and conducted. The program coordinator Moses Kola was extremely helpful and prompt in all his help which made the journey even smoother. Looking forward for more learning opportunities from Jigsaw Academy.",5
sujith david,I came across this course related to Product Management conducted by Jigsaw which I found to be the right one to upskill my career. I was impressed with the curriculum and the vast areas that it covers under product management. The course schedule and the timings were apt for me considering I work during the weekdays. The Institute adds a lot of value to the course  and content since it covers a wide range of product management topics and it is relevant to the current market. The Lecturers also support their teaching with latest industry examples that make it easy for us to learn.    I would recommend this course to my friends considering the positive experience I have had being part of this course.,5
Shruti Srivastava,"I am pursuing Product Management course from Jigsaw Academy in collaboration with IIM Indore. I can proudly say its one of the best decision made. The course is so well structured and the learning is immense. The Jigsaw support team is extraordinary and prompt in facilitating the students with any kind of requirements. They are just a call and message away to help us with our doubts, special mention to Mr. Syed from Jigsaw team. I would like to thank them to provide us this . seamless learning experience. Would also like to recommend these courses. These will surely help to take take that leap in your carrier..Thanks, Shruti",5
Vijay Hande,"I am happy to share that I graduated and secured 3rd rank from Batch 7 of the Integrated Program in Business Analytics (IPBA) course offered by Jigsaw Academy, in partnership with IIM Indore.

It turned out to be a great learning experience, with classes being conducted online every weekend, by certain amazing lecturers from both IIM Indore and Jigsaw Academy as well.

What I loved the best about class lectures is that, even though there were students from various backgrounds (some with good hands-on technical knowledge, some with no technical background, some with great experience, and some with none, etc.), the lecturers patiently addressed the doubts, and almost brought us all on the same level, irrespective of our technical backgrounds.

This program experience would be incomplete without mentioning special thanks to Mr. Moses Kola, who has been a fantastic student coordinator and a good mentor too. He is the go-to man for all course-related queries, and seemed to resolve multiple queries from various people with good patience. I myself have reached out to him with around 10-15 queries at least during various stages in the course, and he has been diligent enough to resolve each one of them in such quick time.

Will gladly recommend this program to those who are looking to bring themselves up to speed with the skills required in the Data Science and Analytics domain.",5
Sandipan Ghosh,"I enrolled for the Integrated Program In Business Analytics (IPBA) course. This course gives a great understanding of different fields in Business analytics and their applications. Faculty were good and the Jigsaw portal videos make things really simple.  Project coordinator - Moses, as well as other support team are quick to provide any help required. The best is the final project where in you are required to bring your own project. This gives the opportunity to work on your area of expertise.",5
